%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134047405675766,398,1562884229055440704,fcu,98609.99755859375,0.0
1648134047428208702,399,1562884229078440704,fcu,98609.99755859375,0.0
1648134047447341814,400,1562884229098440704,fcu,98609.99755859375,0.0
1648134047468389806,401,1562884229118440704,fcu,98609.99755859375,0.0
1648134047485809081,402,1562884229135390272,fcu,98609.99755859375,0.0
1648134047505513895,403,1562884229155390272,fcu,98529.99877929688,0.0
1648134047530021766,404,1562884229181390272,fcu,98529.99877929688,0.0
1648134047548625986,405,1562884229198390272,fcu,98529.99877929688,0.0
1648134047568722343,406,1562884229218390272,fcu,98529.99877929688,0.0
1648134047588508880,407,1562884229238563072,fcu,98529.99877929688,0.0
1648134047609151083,408,1562884229258563072,fcu,98550.0,0.0
1648134047630003735,409,1562884229280563072,fcu,98550.0,0.0
1648134047652153047,410,1562884229302563072,fcu,98550.0,0.0
1648134047669786860,411,1562884229321563072,fcu,98550.0,0.0
1648134047690311704,412,1562884229341464768,fcu,98569.9951171875,0.0
